Number,Name,Color,RGB str,Foreground Escape Code,Background Escape Code
200,Magenta2,,#ff00d7,[38:5:200m,[48:5:200m
201,Magenta1,,#ff00ff,[38:5:201m,[48:5:201m
202,OrangeRed1,,#ff5f00,[38:5:202m,[48:5:202m
203,IndianRed1,,#ff5f5f,[38:5:203m,[48:5:203m
204,IndianRed1,,#ff5f87,[38:5:204m,[48:5:204m
205,HotPink,,#ff5faf,[38:5:205m,[48:5:205m
206,HotPink,,#ff5fd7,[38:5:206m,[48:5:206m
207,MediumOrchid1,,#ff5fff,[38:5:207m,[48:5:207m
208,DarkOrange,,#ff8700,[38:5:208m,[48:5:208m
209,Salmon1,,#ff875f,[38:5:209m,[48:5:209m
210,LightCoral,,#ff8787,[38:5:210m,[48:5:210m
211,PaleVioletRed1,,#ff87af,[38:5:211m,[48:5:211m
212,Orchid2,,#ff87d7,[38:5:212m,[48:5:212m
213,Orchid1,,#ff87ff,[38:5:213m,[48:5:213m
214,Orange1,,#ffaf00,[38:5:214m,[48:5:214m
215,SandyBrown,,#ffaf5f,[38:5:215m,[48:5:215m
216,LightSalmon1,,#ffaf87,[38:5:216m,[48:5:216m
217,LightPink1,,#ffafaf,[38:5:217m,[48:5:217m
218,Pink1,,#ffafd7,[38:5:218m,[48:5:218m
219,Plum1,,#ffafff,[38:5:219m,[48:5:219m
220,Gold1,,#ffd700,[38:5:220m,[48:5:220m
221,LightGoldenrod2,,#ffd75f,[38:5:221m,[48:5:221m
222,LightGoldenrod2,,#ffd787,[38:5:222m,[48:5:222m
223,NavajoWhite1,,#ffd7af,[38:5:223m,[48:5:223m
224,MistyRose1,,#ffd7d7,[38:5:224m,[48:5:224m
225,Thistle1,,#ffd7ff,[38:5:225m,[48:5:225m
226,Yellow1,,#ffff00,[38:5:226m,[48:5:226m
227,LightGoldenrod1,,#ffff5f,[38:5:227m,[48:5:227m
228,Khaki1,,#ffff87,[38:5:228m,[48:5:228m
229,Wheat1,,#ffffaf,[38:5:229m,[48:5:229m
230,Cornsilk1,,#ffffd7,[38:5:230m,[48:5:230m
231,Grey100,,#ffffff,[38:5:231m,[48:5:231m
232,Grey3,,#080808,[38:5:232m,[48:5:232m
233,Grey7,,#121212,[38:5:233m,[48:5:233m
234,Grey11,,#1c1c1c,[38:5:234m,[48:5:234m
235,Grey15,,#262626,[38:5:235m,[48:5:235m
236,Grey19,,#303030,[38:5:236m,[48:5:236m
237,Grey23,,#3a3a3a,[38:5:237m,[48:5:237m
238,Grey27,,#444444,[38:5:238m,[48:5:238m
239,Grey30,,#4e4e4e,[38:5:239m,[48:5:239m
240,Grey35,,#585858,[38:5:240m,[48:5:240m
241,Grey39,,#626262,[38:5:241m,[48:5:241m
242,Grey42,,#6c6c6c,[38:5:242m,[48:5:242m
243,Grey46,,#767676,[38:5:243m,[48:5:243m
244,Grey50,,#808080,[38:5:244m,[48:5:244m
245,Grey54,,#8a8a8a,[38:5:245m,[48:5:245m
246,Grey58,,#949494,[38:5:246m,[48:5:246m
247,Grey62,,#9e9e9e,[38:5:247m,[48:5:247m
248,Grey66,,#a8a8a8,[38:5:248m,[48:5:248m
249,Grey70,,#b2b2b2,[38:5:249m,[48:5:249m
250,Grey74,,#bcbcbc,[38:5:250m,[48:5:250m
251,Grey78,,#c6c6c6,[38:5:251m,[48:5:251m
252,Grey82,,#d0d0d0,[38:5:252m,[48:5:252m
253,Grey85,,#dadada,[38:5:253m,[48:5:253m
254,Grey89,,#e4e4e4,[38:5:254m,[48:5:254m
255,Grey93,,#eeeeee,[38:5:255m,[48:5:255m
